COMPOUND,CLASS
ACEPHATE,Organophosphate
AZINPHOS-METHYL,Organophosphate
CHLORETHOXYFOS,Organophosphate
CHLORPYRIFOS,Organophosphate
DIAZINON,Organophosphate
DIMETHOATE,Organophosphate
DISULFOTON,Organophosphate
ETHION,Organophosphate
ETHOPROPHOS,Organophosphate
FENAMIPHOS,Organophosphate
FONOFOS,Organophosphate
MALATHION,Organophosphate
METHAMIDOPHOS,Organophosphate
METHIDATHION,Organophosphate
METHYL PARATHION,Organophosphate
MEVINPHOS,Organophosphate
MONOCROTOPHOS,Organophosphate
NALED,Organophosphate
OXYDEMETON-METHYL,Organophosphate
PARATHION,Organophosphate
PHORATE,Organophosphate
PHOSMET,Organophosphate
PHOSPHAMIDON,Organophosphate
TERBUFOS,Organophosphate
ALDICARB,Carbamate
BARBAN,Carbamate
CARBARYL,Carbamate
CARBOFURAN,Carbamate
CHLORPROPHAM,Carbamate
DESMEDIPHAM,Carbamate
FENOXYCARB,Carbamate
FORMETANATE,Carbamate
METHOMYL,Carbamate
OXAMYL,Carbamate
PHENMEDIPHAM,Carbamate
PIRIMICARB,Carbamate
