COMPOUND,CLASS,ABBREV,TYPE
1-METHYL CYCLOPROPENE,Plant Growth Regulator,PGR,Plant Growth Regulator
"2,4-D",Phenoxy,PHX,Herbicide
"2,4-DB",Phenoxy,PHX,Herbicide
6-BENZYLADENINE,Plant Growth Regulator,PGR,Plant Growth Regulator
ABAMECTIN,Avermectin,AVM,Insecticide
ACEPHATE,Organophosphate,OP,Insecticide
ACEQUINOCYL,Other Insecticide/Miticide,INS,Insecticide
ACETAMIPRID,Neonicotinoid,NEO,Insecticide
ACETOCHLOR,Chloroacetanilide,CAA,Herbicide
ACIBENZOLAR,Other Fungicide,FUN,Fungicide
ALACHLOR,Chloroacetanilide,CAA,Herbicide
ALDICARB,Carbamate,CB,Insecticide
ALPHA CYPERMETHRIN,Pyrethrin/Pyrethroid,PYR,Insecticide
ALUMINUM PHOSPHIDE,Fumigant,FUM,Fumigant
AMETOCTRADIN,Other Fungicide,FUN,Fungicide
AMINOPYRALID,Other Herbicide,HRB,Herbicide
AMITRAZ,Other Insecticide/Miticide,INS,Insecticide
AMITROLE,Other Herbicide,HRB,Herbicide
AMPELOMYCES QUISQUALIS,Biological/Microbial,BIO,Biological
ANILAZINE,Other Fungicide,FUN,Fungicide
ARSENIC ACID,Inorganic/Mineral,INO,Other
ATRAZINE,Triazine,TRZ,Herbicide
AUREOBASIDIUM PULLULANS,Biological/Microbial,BIO,Biological
AVIGLYCINE,Plant Growth Regulator,PGR,Plant Growth Regulator
AZADIRACHTIN,Other Insecticide/Miticide,INS,Insecticide
AZINPHOS-METHYL,Organophosphate,OP,Insecticide
AZOXYSTROBIN,Strobilurin (QoI),QOI,Fungicide
BACILLUS AMYLOLIQUEFACIEN,Biological/Microbial,BIO,Biological
BACILLUS FIRMUS,Biological/Microbial,BIO,Biological
BACILLUS PUMILIS,Biological/Microbial,BIO,Biological
BACILLUS SUBTILIS,Biological/Microbial,BIO,Biological
BACILLUS THURINGIENSIS,Biological/Microbial,BIO,Biological
BARBAN,Carbamate,CB,Herbicide
BARIUM POLYSULFIDE,Inorganic/Mineral,INO,Other
BENFLURALIN,Dinitroaniline,DNA,Herbicide
BENOMYL,Other Fungicide,FUN,Fungicide
BENSULIDE,Organophosphate,OP,Herbicide
BENTAZONE,Other Herbicide,HRB,Herbicide
BENZOVINDIFLUPYR,SDHI,SDH,Fungicide
BICYCLOPYRONE,Other Herbicide,HRB,Herbicide
BIFENAZATE,Other Insecticide/Miticide,INS,Insecticide
BIFENTHRIN,Pyrethrin/Pyrethroid,PYR,Insecticide
BORDEAUX MIXTURE,Inorganic/Mineral,INO,Fungicide
BOSCALID,SDHI,SDH,Fungicide
BROMACIL,Other Herbicide,HRB,Herbicide
BROMOXYNIL,Other Herbicide,HRB,Herbicide
BUPROFEZIN,Insect Growth Regulator,IGR,Insecticide
BURKHOLDERIA SPP,Biological/Microbial,BIO,Biological
BUTYLATE,Thiocarbamate,TC,Herbicide
CALCIUM CHLORIDE,Inorganic/Mineral,INO,Other
CALCIUM POLYSULFIDE,Inorganic/Mineral,INO,Fungicide
CAPTAN,Other Fungicide,FUN,Fungicide
CARBARYL,Carbamate,CB,Insecticide
CARBOFURAN,Carbamate,CB,Insecticide
CARBOXIN,SDHI,SDH,Fungicide
CARFENTRAZONE-ETHYL,Other Herbicide,HRB,Herbicide
CHENOPODIUM AMBROSIOIDES,Other Insecticide/Miticide,INS,Insecticide
CHINOMETHIONAT,Other Insecticide/Miticide,INS,Insecticide
CHLORAMBEN,Other Herbicide,HRB,Herbicide
CHLORANTRANILIPROLE,Diamide,DIA,Insecticide
CHLORETHOXYFOS,Organophosphate,OP,Insecticide
CHLORIDAZON,Other Herbicide,HRB,Herbicide
CHLORIMURON,ALS-Inhibitor (Sulfonylurea & Related),ALS,Herbicide
CHLORMEQUAT,Plant Growth Regulator,PGR,Plant Growth Regulator
CHLOROPICRIN,Fumigant,FUM,Fumigant
CHLOROTHALONIL,Other Fungicide,FUN,Fungicide
CHLORPROPHAM,Carbamate,CB,Herbicide
CHLORPYRIFOS,Organophosphate,OP,Insecticide
CHLORSULFURON,ALS-Inhibitor (Sulfonylurea & Related),ALS,Herbicide
CHROMOBACTERIUM SUBTSUGAE,Biological/Microbial,BIO,Biological
CLETHODIM,Other Herbicide,HRB,Herbicide
CLODINAFOP,Other Herbicide,HRB,Herbicide
CLOFENTEZINE,Other Insecticide/Miticide,INS,Insecticide
CLOMAZONE,Other Herbicide,HRB,Herbicide
CLOPYRALID,Other Herbicide,HRB,Herbicide
CLOTHIANIDIN,Neonicotinoid,NEO,Insecticide
CONIOTHYRIUM MINITANS,Biological/Microbial,BIO,Biological
COPPER,Inorganic/Mineral,INO,Fungicide
COPPER HYDROXIDE,Inorganic/Mineral,INO,Fungicide
COPPER OCTANOATE,Inorganic/Mineral,INO,Fungicide
COPPER OXYCHLORIDE,Inorganic/Mineral,INO,Fungicide
COPPER OXYCHLORIDE S,Inorganic/Mineral,INO,Fungicide
COPPER SULFATE,Inorganic/Mineral,INO,Fungicide
COPPER SULFATE TRIBASIC,Inorganic/Mineral,INO,Fungicide
CPPU,Plant Growth Regulator,PGR,Plant Growth Regulator
CRYOLITE,Inorganic/Mineral,INO,Insecticide
CUPROUS OXIDE,Inorganic/Mineral,INO,Fungicide
CYANAMIDE,Other/Unclassified,OTH,Plant Growth Regulator
CYANAZINE,Triazine,TRZ,Herbicide
CYANTRANILIPROLE,Diamide,DIA,Insecticide
CYAZOFAMID,Other Fungicide,FUN,Fungicide
CYCLOATE,Thiocarbamate,TC,Herbicide
CYDIA POMONELLA,Biological/Microbial,BIO,Biological
CYFLUFENAMID,Other Fungicide,FUN,Fungicide
CYFLUMETOFEN,Other Insecticide/Miticide,INS,Insecticide
CYFLUTHRIN,Pyrethrin/Pyrethroid,PYR,Insecticide
CYHALOTHRIN-GAMMA,Pyrethrin/Pyrethroid,PYR,Insecticide
CYHALOTHRIN-LAMBDA,Pyrethrin/Pyrethroid,PYR,Insecticide
CYMOXANIL,Other Fungicide,FUN,Fungicide
CYPERMETHRIN,Pyrethrin/Pyrethroid,PYR,Insecticide
CYPROCONAZOLE,DMI Fungicide (Triazole/Imidazole),DMI,Fungicide
CYPRODINIL,Other Fungicide,FUN,Fungicide
CYTOKININ,Plant Growth Regulator,PGR,Plant Growth Regulator
DALAPON,Other Herbicide,HRB,Herbicide
DAMINOZIDE,Plant Growth Regulator,PGR,Plant Growth Regulator
DCPA,Other Herbicide,HRB,Herbicide
DECAN-1-OL,Plant Growth Regulator,PGR,Plant Growth Regulator
DELTAMETHRIN,Pyrethrin/Pyrethroid,PYR,Insecticide
DEMETON,Organophosphate,OP,Insecticide
DESMEDIPHAM,Carbamate,CB,Herbicide
DIALLATE,Thiocarbamate,TC,Herbicide
