"RANK_1YR","COMPOUND","CLASS","ABBREV","TYPE","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM POTASSIUM","Fumigant","FUM","Fumigant",6833506,3788663,2874904
2,"METAM","Fumigant","FUM","Fumigant",4809535,5455738,5993341
3,"CHLOROPICRIN","Fumigant","FUM","Fumigant",2031809,870762,529045
4,"SULFURIC ACID","Inorganic/Mineral","INO","Other",1598628,3313187,3558072
5,"DICHLOROPROPENE","Fumigant","FUM","Fumigant",1367078,1493001,1508878
6,"GLYPHOSATE","Glycine/Phosphonate","GLY","Herbicide",888738,765951,719412
7,"BACILLUS AMYLOLIQUEFACIEN","Biological/Microbial","BIO","Biological",418964,199800,199800
8,"2,4-D","Phenoxy","PHX","Herbicide",214705,153963,131233
9,"EPTC","Thiocarbamate","TC","Herbicide",174666,220510,230709
10,"PENDIMETHALIN","Dinitroaniline","DNA","Herbicide",168211,174652,148241
11,"CHLOROTHALONIL","Other Fungicide","FUN","Fungicide",138764,139496,131277
12,"METRIBUZIN","Triazine","TRZ","Herbicide",124641,121968,119441
13,"MCPA","Phenoxy","PHX","Herbicide",124519,129273,149175
14,"METOLACHLOR & METOLACHLOR-S","Chloroacetanilide","CAA","Herbicide",100012,94964,105685
15,"DIMETHENAMID & DIMETHENAMID-P","Chloroacetanilide","CAA","Herbicide",93802,119626,100467
16,"DIMETHENAMID-P","Chloroacetanilide","CAA","Herbicide",93802,91402,83532
17,"MANCOZEB","Dithiocarbamate","DTC","Fungicide",89213,92481,138211
18,"METOLACHLOR-S","Chloroacetanilide","CAA","Herbicide",81295,74582,78570
19,"BROMOXYNIL","Other Herbicide","HRB","Herbicide",77415,65040,87066
20,"ACETOCHLOR","Chloroacetanilide","CAA","Herbicide",74124,34616,40102
21,"FLUROXYPYR","Other Herbicide","HRB","Herbicide",56387,58028,55439
22,"CHLORPYRIFOS","Organophosphate","OP","Insecticide",56147,67094,66627
23,"MALEIC HYDRAZIDE","Plant Growth Regulator","PGR","Plant Growth Regulator",54238,36646,46260
24,"SULFUR","Inorganic/Mineral","INO","Fungicide",52846,78970,88766
25,"ATRAZINE","Triazine","TRZ","Herbicide",47753,107971,69063
26,"METHOMYL","Carbamate","CB","Insecticide",44764,38918,32844
27,"PHOSPHORIC ACID","Inorganic/Mineral","INO","Other",42355,49265,82250
28,"PARAQUAT","Bipyridylium","BIP","Herbicide",41906,44064,52485
29,"TRIFLURALIN","Dinitroaniline","DNA","Herbicide",31919,29904,29050
30,"PYRIMETHANIL","Other Fungicide","FUN","Fungicide",29914,23966,22363
31,"PETROLEUM OIL","Other Insecticide/Miticide","INS","Insecticide",29102,314695,201738
32,"BURKHOLDERIA SPP","Biological/Microbial","BIO","Biological",28801,42696,42696
33,"DICAMBA","Other Herbicide","HRB","Herbicide",27062,27833,23448
34,"ETHALFLURALIN","Dinitroaniline","DNA","Herbicide",25271,51365,45270
35,"DIQUAT","Bipyridylium","BIP","Herbicide",24545,22251,23314
36,"AZOXYSTROBIN","Strobilurin (QoI)","QOI","Fungicide",23650,20131,19412
37,"BOSCALID","SDHI","SDH","Fungicide",23035,27745,26335
