"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM POTASSIUM","Dithiocarbamates","DTC","Fumigant",739900,339268,236124
2,"METAM","Dithiocarbamates","DTC","Fumigant",345594,512798,531684
3,"SULFURIC ACID","Inorganic compounds","INO","Other",143804,270539,295180
4,"CHLOROPICRIN","Organochlorine compound","OC","Fumigant",142419,63096,47333
5,"DICHLOROPROPENE","Organochlorine compound","OC","Fumigant",76178,120436,106961
6,"GLYPHOSATE","Other","OTH","Herbicide/algicide",12681,11942,13496
7,"PENDIMETHALIN","Other","OTH","Herbicide/algicide",10572,10943,9312
8,"CHLOROTHALONIL","Other","OTH","Fungicide",10462,9687,8574
9,"METRIBUZIN","Triazines","TRZ","Herbicide/algicide",10098,9763,8845
10,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",9177,6378,5635
11,"EPTC","Thiocarbamates","TC","Herbicide/algicide",6401,8101,8322
12,"MCPA","Chlorophenoxy compound","CPX","Herbicide/algicide",6039,4425,5940
13,"MALEIC HYDRAZIDE","Other","OTH","Plant Growth Regulator",4978,3264,3739
14,"DIMETHENAMID & DIMETHENAMID-P","Other","OTH","Herbicide/algicide",4183,4934,4009
15,"DIMETHENAMID-P","Other","OTH","Herbicide/algicide",4183,4401,3690
16,"PHOSPHORIC ACID","Inorganic compounds","INO","Other",3914,3834,6128
17,"METOLACHLOR & METOLACHLOR-S","Other","OTH","Herbicide/algicide",3806,3153,2901
18,"METHOMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",3664,3080,2381
19,"FLUROXYPYR","Other","OTH","Herbicide/algicide",3627,3061,2916
20,"CHLORPYRIFOS","Organophosphorous compound","OP","Insecticide",3501,2376,2133
21,"METOLACHLOR-S","Other","OTH","Herbicide/algicide",3460,2772,2424
22,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",3445,3673,6728
23,"BROMOXYNIL","Other","OTH","Herbicide/algicide",2990,2475,3275
24,"ACETOCHLOR","Other","OTH","Herbicide/algicide",2127,901,1008
25,"QUINTOZENE","Other","OTH","Fungicide",1973,1097,1097
26,"PYRIMETHANIL","Other","OTH","Fungicide",1838,1570,1506
