"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM","Dithiocarbamates","DTC","Fumigant",646374,348780,328457
2,"METAM POTASSIUM","Dithiocarbamates","DTC","Fumigant",416564,321713,242918
3,"DICHLOROPROPENE","Organochlorine compound","OC","Fumigant",187309,96175,115283
4,"SULFURIC ACID","Inorganic compounds","INO","Other",157834,346030,311922
5,"CHLOROPICRIN","Organochlorine compound","OC","Fumigant",132844,52770,39589
6,"GLYPHOSATE","Other","OTH","Herbicide/algicide",65046,61688,56344
7,"CHLOROTHALONIL","Other","OTH","Fungicide",20706,20899,18594
8,"DIMETHENAMID & DIMETHENAMID-P","Other","OTH","Herbicide/algicide",15084,14166,12966
9,"DIMETHENAMID-P","Other","OTH","Herbicide/algicide",15084,13442,12532
10,"PENDIMETHALIN","Other","OTH","Herbicide/algicide",14881,13602,11777
11,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",14603,13292,18638
12,"METRIBUZIN","Triazines","TRZ","Herbicide/algicide",10089,9800,8967
13,"EPTC","Thiocarbamates","TC","Herbicide/algicide",8824,10930,9523
14,"SULFUR","Inorganic compounds","INO","Fungicide",7474,17499,15161
15,"CHLORPYRIFOS","Organophosphorous compound","OP","Insecticide",6907,13524,11589
16,"MALEIC HYDRAZIDE","Other","OTH","Plant Growth Regulator",6223,4085,5502
17,"PYRIMETHANIL","Other","OTH","Fungicide",6174,4310,3602
18,"ACETOCHLOR","Other","OTH","Herbicide/algicide",5827,2209,2092
19,"DIQUAT","Dipyridyl compound","DIP","Herbicide/algicide",4278,3041,2446
20,"PHOSPHORIC ACID","Inorganic compounds","INO","Other",3648,5107,7071
21,"METHOMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",3418,2897,2286
22,"METOLACHLOR & METOLACHLOR-S","Other","OTH","Herbicide/algicide",3194,3048,3875
23,"BROMOXYNIL","Other","OTH","Herbicide/algicide",3008,2827,3716
24,"METOLACHLOR-S","Other","OTH","Herbicide/algicide",2551,2474,3153
25,"QUINTOZENE","Other","OTH","Fungicide",2466,2291,2291
26,"FLUOPYRAM","Other","OTH","Fungicide",2277,1505,1234
27,"GLUFOSINATE","Other","OTH","Herbicide/algicide",2225,987,715
28,"MCPA","Chlorophenoxy compound","CPX","Herbicide/algicide",2198,2737,3694
29,"ATRAZINE","Triazines","TRZ","Herbicide/algicide",2177,2810,1733
30,"BOSCALID","Other","OTH","Fungicide",1946,3441,3005
31,"FLUROXYPYR","Other","OTH","Herbicide/algicide",1881,1928,1810
32,"MEFENOXAM","Other","OTH","Fungicide",1774,904,758
33,"IMIDACLOPRID","Other","OTH","Insecticide",1591,2872,3168
34,"AZOXYSTROBIN","Other","OTH","Fungicide",1454,1303,1304
35,"PROPARGITE","Other","OTH","Acaricide",1409,1409,2327
36,"DICAMBA","Other","OTH","Herbicide/algicide",1372,917,666
37,"HEXAZINONE","Triazines","TRZ","Herbicide/algicide",1311,958,840
38,"BIFENTHRIN","Pyrethrins/Pyrethroids","PYR","Insecticide",1251,746,685
39,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",1183,3094,3092
40,"ETHALFLURALIN","Other","OTH","Herbicide/algicide",1090,1987,1784
41,"ZOXAMIDE","Other","OTH","Fungicide",1014,1305,1241
42,"PYRACLOSTROBIN","Other","OTH","Fungicide",935,1140,1280
43,"DIFENOCONAZOLE","Other","OTH","Fungicide",898,696,897
44,"MANDIPROPAMID","Other","OTH","Fungicide",880,413,451
45,"SPIROTETRAMAT","Other","OTH","Insecticide",872,558,364
46,"TRIFLURALIN","Other","OTH","Herbicide/algicide",799,762,576
47,"DIURON","Other","OTH","Herbicide/algicide",722,815,909
48,"METOLACHLOR","Other","OTH","Herbicide/algicide",643,574,723
49,"FLUAZINAM","Other","OTH","Fungicide",628,575,675
50,"HYDROGEN PEROXIDE","Inorganic compounds","INO","Fungicide",564,564,564
