"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"PETROLEUM OIL","Other","OTH","Insecticide",360520,515704,512041
2,"SULFUR","Inorganic compounds","INO","Fungicide",135585,146914,161126
3,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",56411,57487,58237
4,"COPPER","Inorganic compounds","INO","Fungicide",11779,8191,8776
5,"GLYPHOSATE","Other","OTH","Herbicide/algicide",8270,6203,6424
6,"CALCIUM POLYSULFIDE","Inorganic compounds","INO","Fungicide",5512,25264,24723
7,"CHLORPYRIFOS","Organophosphorous compound","OP","Insecticide",4133,2942,2441
8,"MALATHION","Organophosphorous compound","OP","Insecticide",3764,1700,1092
9,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",3362,4261,4885
10,"DIURON","Other","OTH","Herbicide/algicide",3044,3437,3110
11,"THIOPHANATE-METHYL","Other","OTH","Fungicide",2996,2460,2470
12,"COPPER SULFATE","Inorganic compounds","INO","Fungicide",2980,11329,10556
13,"PYRIDABEN","Other","OTH","Acaricide",2645,3540,3209
14,"TRIFLUMIZOLE","Other","OTH","Fungicide",1944,2062,2112
15,"KAOLIN CLAY","Inorganic compounds","INO","Insect Repellent",1643,229107,191370
16,"PENDIMETHALIN","Other","OTH","Herbicide/algicide",1477,1939,2850
17,"NOVALURON","Other","OTH","Insect Growth Regulator",1301,1106,869
18,"BACILLUS THURINGIENSIS","Microbial","MIC","Insecticide",1070,766,592
19,"MCPA","Chlorophenoxy compound","CPX","Herbicide/algicide",1059,538,649
20,"COPPER HYDROXIDE","Inorganic compounds","INO","Fungicide",1025,1467,1547
21,"ACETAMIPRID","Other","OTH","Insecticide",920,458,358
22,"COPPER OXYCHLORIDE","Inorganic compounds","INO","Fungicide",838,289,175
23,"SETHOXYDIM","Other","OTH","Herbicide/algicide",829,369,223
