"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM","Dithiocarbamates","DTC","Fumigant",1135539,858083,689997
2,"DICHLOROPROPENE","Organochlorine compound","OC","Fumigant",508383,426466,383259
3,"BACILLUS AMYLOLIQUEFACIEN","Microbial","MIC","Fungicide",309872,149088,149088
4,"CHLOROPICRIN","Organochlorine compound","OC","Fumigant",292588,104689,68752
5,"METAM POTASSIUM","Dithiocarbamates","DTC","Fumigant",221006,169121,173608
6,"SULFURIC ACID","Inorganic compounds","INO","Other",73678,148384,141297
7,"GLYPHOSATE","Other","OTH","Herbicide/algicide",56740,109472,108405
8,"ETHOPROPHOS","Organophosphorous compound","OP","Insecticide",37874,24674,15148
9,"BURKHOLDERIA SPP","Microbial","MIC","Insecticide",21309,26474,17650
10,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",21234,28598,29275
11,"PARAQUAT","Dipyridyl compound","DIP","Herbicide/algicide",20636,13422,9565
12,"CHLOROTHALONIL","Other","OTH","Fungicide",16638,16360,12303
13,"EPTC","Thiocarbamates","TC","Herbicide/algicide",16485,10422,9078
14,"DCPA","Other","OTH","Herbicide/algicide",15701,21215,19864
15,"FLUFENACET","Other","OTH","Herbicide/algicide",12388,8589,8193
16,"ATRAZINE","Triazines","TRZ","Herbicide/algicide",11545,15273,13245
17,"METHOMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",9452,8006,8093
18,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",8934,26311,24500
19,"MCPA","Chlorophenoxy compound","CPX","Herbicide/algicide",8137,11445,8093
20,"METOLACHLOR & METOLACHLOR-S","Other","OTH","Herbicide/algicide",7700,6771,7355
21,"METOLACHLOR-S","Other","OTH","Herbicide/algicide",7700,6771,7144
22,"PETROLEUM OIL","Other","OTH","Insecticide",7539,10365,9582
23,"OXAMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",7212,4104,4002
24,"COPPER HYDROXIDE","Inorganic compounds","INO","Fungicide",7117,5562,5451
25,"COPPER OXYCHLORIDE","Inorganic compounds","INO","Fungicide",7114,4843,3353
26,"TRIFLURALIN","Other","OTH","Herbicide/algicide",5962,4291,5672
27,"AZOXYSTROBIN","Other","OTH","Fungicide",5080,3728,2922
28,"DIURON","Other","OTH","Herbicide/algicide",4648,13632,13917
29,"DIMETHENAMID & DIMETHENAMID-P","Other","OTH","Herbicide/algicide",4221,3701,3423
30,"DIMETHENAMID-P","Other","OTH","Herbicide/algicide",4221,3701,3423
31,"DICAMBA","Other","OTH","Herbicide/algicide",3925,3641,3152
32,"FLUTOLANIL","Other","OTH","Fungicide",3768,2187,1751
