"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM","Dithiocarbamates","DTC","Fumigant",1848035,2106124,1957167
2,"DICHLOROPROPENE","Organochlorine compound","OC","Fumigant",1043404,942486,1086891
3,"CHLOROPICRIN","Organochlorine compound","OC","Fumigant",978674,383420,256838
4,"BACILLUS AMYLOLIQUEFACIEN","Microbial","MIC","Fungicide",941297,445492,445492
5,"PETROLEUM OIL","Other","OTH","Insecticide",604008,726426,795341
6,"GLYPHOSATE","Other","OTH","Herbicide/algicide",522544,556282,555285
7,"METAM POTASSIUM","Dithiocarbamates","DTC","Fumigant",480182,615752,633563
8,"SULFUR","Inorganic compounds","INO","Fungicide",357260,313104,340140
9,"SULFURIC ACID","Inorganic compounds","INO","Other",203322,443563,439492
10,"PARAQUAT","Dipyridyl compound","DIP","Herbicide/algicide",141380,92816,69335
11,"CALCIUM POLYSULFIDE","Inorganic compounds","INO","Fungicide",109533,122287,108542
12,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",105047,143330,148567
13,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",100922,124134,128417
14,"ETHOPROPHOS","Organophosphorous compound","OP","Insecticide",97921,71030,47113
15,"TRIFLURALIN","Other","OTH","Herbicide/algicide",72524,56736,79358
16,"BURKHOLDERIA SPP","Microbial","MIC","Insecticide",64767,79674,53260
17,"MCPA","Chlorophenoxy compound","CPX","Herbicide/algicide",56977,76353,63885
18,"FLUFENACET","Other","OTH","Herbicide/algicide",55004,38710,35878
19,"ATRAZINE","Triazines","TRZ","Herbicide/algicide",50786,63960,54356
20,"COPPER","Inorganic compounds","INO","Fungicide",47360,34752,33510
21,"EPTC","Thiocarbamates","TC","Herbicide/algicide",44020,60405,74153
22,"CHLOROTHALONIL","Other","OTH","Fungicide",42797,68114,57907
23,"GLUFOSINATE","Other","OTH","Herbicide/algicide",41551,27926,29435
24,"PENDIMETHALIN","Other","OTH","Herbicide/algicide",36739,35917,37232
25,"KAOLIN CLAY","Inorganic compounds","INO","Insect Repellent",36524,312823,272474
26,"METOLACHLOR & METOLACHLOR-S","Other","OTH","Herbicide/algicide",36204,35139,40537
27,"BROMOXYNIL","Other","OTH","Herbicide/algicide",35039,29268,29658
28,"METOLACHLOR-S","Other","OTH","Herbicide/algicide",34903,32989,37243
29,"DIURON","Other","OTH","Herbicide/algicide",33981,72426,79627
30,"COPPER SULFATE","Inorganic compounds","INO","Fungicide",32547,45155,41049
31,"CHLORPYRIFOS","Organophosphorous compound","OP","Insecticide",31918,38050,39659
32,"ZIRAM","Dithiocarbamates","DTC","Fungicide",31415,12762,12647
33,"METRIBUZIN","Triazines","TRZ","Herbicide/algicide",30696,22205,26280
34,"AZOXYSTROBIN","Other","OTH","Fungicide",30196,19566,16937
35,"DICAMBA","Other","OTH","Herbicide/algicide",28555,23140,22080
36,"METHOMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",27114,28565,28125
37,"PROPICONAZOLE","Other","OTH","Fungicide",26282,19731,17272
38,"DCPA","Other","OTH","Herbicide/algicide",22237,30674,32472
39,"OXAMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",16394,9948,22507
40,"COPPER HYDROXIDE","Inorganic compounds","INO","Fungicide",15064,20119,18665
41,"THIOPHANATE-METHYL","Other","OTH","Fungicide",13951,18987,17471
42,"CLOPYRALID","Other","OTH","Herbicide/algicide",13927,11020,11727
43,"DIMETHENAMID & DIMETHENAMID-P","Other","OTH","Herbicide/algicide",13278,17194,15293
44,"DIMETHENAMID-P","Other","OTH","Herbicide/algicide",13278,13615,13145
45,"MALATHION","Organophosphorous compound","OP","Insecticide",12602,15752,19509
46,"COPPER OXYCHLORIDE","Inorganic compounds","INO","Fungicide",11509,7658,5972
