"RANK_1YR","COMPOUND","CHEMICAL_CLASS","CHEM_ABBREV","FUNCTIONAL_CLASS","EPEST_HIGH_KG_1YR","EPEST_HIGH_KG_3YR_AVG","EPEST_HIGH_KG_5YR_AVG"
1,"METAM","Dithiocarbamates","DTC","Fumigant",1457865,1428457,1133223
2,"DICHLOROPROPENE","Organochlorine compound","OC","Fumigant",961753,985098,932557
3,"METAM POTASSIUM","Dithiocarbamates","DTC","Fumigant",392225,257672,264637
4,"CHLOROPICRIN","Organochlorine compound","OC","Fumigant",134727,58619,38585
5,"SULFURIC ACID","Inorganic compounds","INO","Other",94991,208553,224700
6,"GLYPHOSATE","Other","OTH","Herbicide/algicide",70203,94352,86057
7,"PETROLEUM OIL","Other","OTH","Insecticide",69034,95154,93156
8,"BACILLUS AMYLOLIQUEFACIEN","Microbial","MIC","Fungicide",41755,44305,31814
9,"2,4-D","Chlorophenoxy compound","CPX","Herbicide/algicide",37473,38569,37654
10,"CALCIUM POLYSULFIDE","Inorganic compounds","INO","Fungicide",32979,20302,17394
11,"SULFUR","Inorganic compounds","INO","Fungicide",32328,35393,38421
12,"EPTC","Thiocarbamates","TC","Herbicide/algicide",26346,30235,39296
13,"MANCOZEB","Dithiocarbamates","DTC","Fungicide",24531,30925,38678
14,"CHLOROTHALONIL","Other","OTH","Fungicide",17753,17950,18375
15,"OXAMYL","N-methyl carbamates (AChE inhibitor)","CB","Insecticide",10804,4336,8247
16,"PARAQUAT","Dipyridyl compound","DIP","Herbicide/algicide",8913,11569,9599
17,"PROPICONAZOLE","Other","OTH","Fungicide",8292,8488,6581
18,"METRIBUZIN","Triazines","TRZ","Herbicide/algicide",7945,7420,7528
19,"BROMOXYNIL","Other","OTH","Herbicide/algicide",7217,12218,12768
20,"METOLACHLOR & METOLACHLOR-S","Other","OTH","Herbicide/algicide",6171,6473,8121
21,"METOLACHLOR-S","Other","OTH","Herbicide/algicide",6171,6473,7951
22,"PENDIMETHALIN","Other","OTH","Herbicide/algicide",5863,6844,6693
